QoS-adaptive proxy caching for multimedia streaming over the Internet.,2003,https://doi.org/10.1109/TCSVT.2003.809829,IEEE Trans. Circuits Syst. Video Technol.
Scalable portrait video for mobile video communication.,2003,https://doi.org/10.1109/TCSVT.2003.811611,IEEE Trans. Circuits Syst. Video Technol.
Network-Adaptive Rate Control and Unequal Loss Protection with TCP-Friendly Protocol for Scalable Video Over Internet.,2003,https://doi.org/10.1023/A:1022865704606,J. VLSI Signal Process.
Advances in networked media - theory and practice.,2003,https://doi.org/10.1109/ICASSP.2003.1198699,ICASSP (1)
Accelerating video decoding using GPU.,2003,https://doi.org/10.1109/ICASSP.2003.1202757,ICASSP (4)
Feedback-free packet loss recovery for video multicast.,2003,https://doi.org/10.1109/ICC.2003.1204459,ICC
An efficient algorithm for adaptive cell sectoring in CDMA systems.,2003,https://doi.org/10.1109/ICC.2003.1204578,ICC
An end-to-end TCP-friendly streaming protocol for multimedia over wireless Internet.,2003,https://doi.org/10.1109/ICME.2003.1221645,ICME
On the rate constraint of transmitting multiple priority classes with QoS.,2003,https://doi.org/10.1109/ICME.2003.1220952,ICME
Optimal joint source-channel bit allocation for MPEG-4 fine granularity scalable video over OFDM system.,2003,https://doi.org/10.1109/ISCAS.2003.1205982,ISCAS (2)
Rate control for replicated video streams.,2003,https://doi.org/10.1109/ISCAS.2003.1206099,ISCAS (2)
Video broadcasting over MIMO-OFDM systems.,2003,https://doi.org/10.1109/ISCAS.2003.1206106,ISCAS (2)
Power-minimized bit allocation for video communication over wireless channels.,2002,https://doi.org/10.1109/TCSVT.2002.800322,IEEE Trans. Circuits Syst. Video Technol.
Memory-constrained 3D wavelet transform for video coding without boundary effects.,2002,https://doi.org/10.1109/TCSVT.2002.803231,IEEE Trans. Circuits Syst. Video Technol.
Allocation of layer bandwidths and FECs for video multicast over wired and wireless networks.,2002,https://doi.org/10.1109/TCSVT.2002.806816,IEEE Trans. Circuits Syst. Video Technol.
3-D wavelet compression and progressive inverse wavelet synthesis rendering of concentric mosaic.,2002,https://doi.org/10.1109/TIP.2002.801942,IEEE Trans. Image Process.
Efficient and universal scalable video coding.,2002,https://doi.org/10.1109/ICIP.2002.1039881,ICIP (2)
A Hybrid Adaptation Protocol for TCP-Friendly Layered Multicast and Its Optimal Rate Allocation.,2002,https://doi.org/10.1109/INFCOM.2002.1019403,INFOCOM
Third-generation and beyond (3.5G) wireless networks and its applications.,2002,https://doi.org/10.1109/ISCAS.2002.1009772,ISCAS (1)
Seamless switching of scalable video bitstreams for efficient streaming.,2002,https://doi.org/10.1109/ISCAS.2002.1010241,ISCAS (3)
Rate-distortion optimization of macroblock-based progressive fine granularity scalable video codec.,2002,https://doi.org/10.1109/ISCAS.2002.1010512,ISCAS (4)
A two-pass optimal motion-threading technique for 3D wavelet video coding.,2002,https://doi.org/10.1109/ISCAS.2002.1010583,ISCAS (4)
Flexible and Efficient Switching Techniques between Scalable Video Bitstreams.,2002,https://doi.org/10.1007/3-540-36228-2_106,IEEE Pacific Rim Conference on Multimedia
A Peer-to-Peer Communication System.,2002,https://doi.org/10.1007/3-540-36228-2_108,IEEE Pacific Rim Conference on Multimedia
"On the Compression of Image Based Rendering Scene: A Comparison among Block, Reference and Wavelet Coders.",2001,https://doi.org/10.1142/S0219467801000050,Int. J. Image Graph.
Stereoscopic Video Coding Using a Fast and Robust Affine Motion Search.,2001,https://doi.org/10.1142/S0219467801000153,Int. J. Image Graph.
Scalable video coding and transport over broadband wireless networks.,2001,https://doi.org/10.1109/5.904503,Proc. IEEE
User-aware object-based video transmission over the next generation Internet.,2001,https://doi.org/10.1016/S0923-5965(01)00006-6,Signal Process. Image Commun.
Streaming video over the Internet: approaches and directions.,2001,https://doi.org/10.1109/76.911156,IEEE Trans. Circuits Syst. Video Technol.
A framework for efficient progressive fine granularity scalable video coding.,2001,https://doi.org/10.1109/76.911159,IEEE Trans. Circuits Syst. Video Technol.
Arbitrarily shaped video-object coding by wavelet.,2001,https://doi.org/10.1109/76.954500,IEEE Trans. Circuits Syst. Video Technol.
Resource allocation for multimedia streaming over the Internet.,2001,https://doi.org/10.1109/6046.944477,IEEE Trans. Multim.
Optimal allocation of packet-level and byte-level FEC in video multicasting over wired and wireless networks.,2001,https://doi.org/10.1109/GLOCOM.2001.965922,GLOBECOM
A scalable bit-stream packetization and adaptive rate control framework for object-based video multicast.,2001,https://doi.org/10.1109/GLOCOM.2001.965927,GLOBECOM
Fine-granularity spatially scalable video coding.,2001,https://doi.org/10.1109/ICASSP.2001.941291,ICASSP
On the optimal rate allocation for layered video multicast.,2001,https://doi.org/10.1109/ICCCN.2001.956298,ICCCN
Network-adaptive scalable video streaming over 3G wireless network.,2001,https://doi.org/10.1109/ICIP.2001.958184,ICIP (3)
Macroblock-based progressive fine granularity scalable (PFGS) video coding with flexible temporal-SNR scalablilities.,2001,https://doi.org/10.1109/ICIP.2001.958671,ICIP (2)
Motion Compensated Lifting Wavelet And Its Application In Video Coding.,2001,https://doi.org/10.1109/ICME.2001.1237732,ICME
An End-to-End Probing-Based Admission Control Scheme for Multimedia Applications.,2001,https://doi.org/10.1109/ICME.2001.1237808,ICME
Macroblock-Based Progressive Fine Granularity Scalable Video Coding.,2001,https://doi.org/10.1109/ICME.2001.1237727,ICME
Transcoder with arbitrarily resizing capability.,2001,https://doi.org/10.1109/ISCAS.2001.921975,ISCAS (5)
